Id,Response
1,7
3,6
4,6
9,6
12,6
13,6
21,6
28,6
30,6
36,6
38,6
43,6
45,6
48,8
50,6
51,6
54,6
55,6
59,6
62,6
63,6
66,8
69,8
82,8
83,6
84,6
86,6
89,6
90,6
92,6
98,6
100,6
105,6
115,6
119,6
124,6
127,6
133,6
140,6
141,6
143,6
151,6
154,8
157,6
163,6
166,6
168,8
170,4
173,6
180,6
182,6
184,6
185,6
195,8
196,6
197,6
212,6
213,6
219,8
225,6
227,8
232,6
239,6
247,6
251,6
254,6
261,6
264,6
267,6
272,6
275,6
277,6
283,6
284,6
287,6
291,6
293,6
294,6
305,6
307,6
309,6
311,7
322,6
323,6
326,6
330,6
335,8
337,8
338,6
341,6
346,6
348,6
352,6
356,6
358,6
366,6
369,6
373,6
375,6
381,6
384,8
386,6
396,6
397,6
399,6
405,8
412,6
417,6
421,6
425,6
427,6
430,6
432,6
433,6
436,6
438,6
441,8
442,6
444,6
446,6
448,6
450,6
454,6
465,6
470,6
472,6
475,6
484,6
495,8
497,6
498,6
501,6
502,6
505,6
515,6
516,6
527,6
529,6
531,6
533,6
537,6
541,6
546,6
548,6
549,6
550,6
553,6
559,6
561,6
564,6
574,6
578,6
579,6
580,6
582,6
584,6
588,6
596,6
602,6
603,6
613,6
614,6
619,6
620,6
624,8
625,6
628,6
630,6
635,6
636,6
637,6
641,6
644,6
648,6
654,6
658,6
664,6
666,6
667,6
670,6
672,6
674,6
676,6
684,8
685,6
693,6
694,6
700,6
702,6
703,6
705,6
711,6
718,6
722,6
726,6
727,6
732,6
735,6
740,6
748,8
750,6
751,6
756,6
762,6
766,6
770,6
771,6
779,6
782,6
784,6
793,6
798,6
800,6
801,6
805,6
807,8
813,6
819,6
820,8
822,6
823,6
833,6
834,6
842,6
845,6
856,6
860,6
864,6
869,6
872,6
877,6
878,6
893,6
894,6
896,6
899,6
900,6
911,6
914,6
917,6
919,6
923,6
925,6
926,6
934,6
938,6
940,6
955,6
956,8
971,6
973,6
978,6
979,6
981,6
988,8
990,8
992,6
996,8
997,6
999,6
1000,6
1006,8
1009,6
1018,6
1025,6
1038,6
1042,6
1045,6
1046,8
1047,6
1050,6
1052,6
1054,6
1057,6
1061,6
1069,6
1071,6
1073,6
1074,6
1075,1
1083,6
1084,6
1089,6
1099,6
1103,6
1110,6
1123,6
1130,7
1135,6
1137,6
1145,6
1147,6
1152,6
1153,6
1154,6
1158,6
1166,6
1170,6
1172,6
1178,6
1179,6
1181,6
1182,8
1183,6
1191,6
1192,2
1200,6
1205,6
1207,6
1208,6
1209,6
1217,6
1223,6
1225,6
1226,6
1228,6
1230,6
1232,6
1235,8
1237,6
1257,6
1266,6
1267,6
1274,6
1277,6
1278,7
1280,6
1282,6
1293,6
1294,6
1305,6
1306,6
1311,8
1318,7
1320,6
1323,6
1325,6
1328,6
1336,6
1340,6
1341,6
1344,6
1345,6
1348,6
1358,6
1361,6
1364,6
1373,8
1377,6
1378,6
1380,6
1382,6
1383,6
1386,6
1387,6
1390,6
1395,6
1398,6
1402,6
1403,8
1405,6
1407,6
1410,6
1412,6
1419,8
1426,8
1428,6
1436,6
1437,6
1438,6
1441,6
1444,6
1448,6
1454,6
1457,6
1459,6
1463,6
1467,6
1471,6
1475,6
1476,6
1480,6
1481,6
1482,6
1489,6
1491,6
1494,8
1496,6
1500,6
1501,8
1503,6
1504,6
1505,6
1515,6
1517,6
1520,6
1521,6
1523,8
1526,6
1529,6
1530,6
1543,6
1544,6
1547,6
1550,6
1552,7
1554,6
1563,8
1574,6
1575,6
1576,6
1579,6
1582,6
1584,6
1585,8
1589,6
1596,8
1598,6
1611,6
1613,6
1615,6
1618,6
1627,7
1630,6
